Source,Target,Label
317344,5659116,2020-10-09T15:44:29.89Z
317344,5168883,2020-10-09T11:24:18.35Z
317344,75976,2020-10-09T10:37:18.32Z
317344,1680848,2020-10-09T09:51:40.73Z
317344,2246613,2020-10-09T07:27:09.673Z
317344,3154376,2020-10-09T04:08:44.757Z
317344,1305588,2020-10-08T14:02:35.09Z
1305588,317344,2020-10-08T15:20:59.117Z
1305588,1305588,2020-10-09T03:08:43.607Z
317344,2497784,2020-10-08T13:48:46.653Z
2497784,317344,2020-10-08T15:17:12.133Z
317344,2745910,2020-10-08T12:57:12.297Z
2745910,6557309,2021-02-04T07:07:39.117Z
317344,3166408,2021-09-30T11:01:32.547Z
220927,4287302,2020-10-08T22:34:00.207Z
4287302,220927,2020-10-08T23:18:21.87Z
220927,4723999,2020-10-08T21:17:08.047Z
4723999,220927,2020-10-08T23:17:19.677Z
220927,3002383,2020-10-08T15:54:57.693Z
3002383,220927,2020-10-08T16:31:27.033Z
220927,1688884,2020-10-08T14:57:21.97Z
1688884,220927,2020-10-08T15:17:41.323Z
220927,3564216,2020-10-08T13:48:08.56Z
3564216,220927,2020-10-08T14:07:14.993Z
220927,4338270,2020-10-08T04:53:20.8Z
4338270,220927,2020-10-08T08:31:26.377Z
220927,2497784,2020-10-08T02:19:37.87Z
2497784,220927,2020-10-08T02:23:36.913Z
220927,1622856,2020-10-08T02:01:16.097Z
1622856,220927,2020-10-08T02:05:51.987Z
220927,6541719,2021-08-31T11:32:57.533Z
75976,113660,2020-09-18T13:14:42.217Z
113660,3451735,2020-09-18T13:19:16.963Z
113660,113660,2020-09-18T13:22:48.39Z
113660,2745125,2020-09-19T00:56:33.31Z
113660,347724,2020-09-19T05:26:16.323Z
113660,113660,2020-09-19T05:28:14.85Z
113660,347724,2020-09-21T06:21:42.357Z
113660,113660,2020-09-22T12:01:21.597Z
75976,75976,2020-09-25T16:33:42.643Z
75976,4203334,2020-09-18T15:56:18.423Z
4203334,4010658,2020-09-18T18:35:05.893Z
4203334,347724,2020-09-19T05:04:54.84Z
4203334,4203334,2020-09-19T05:52:48.59Z
4203334,4010658,2020-09-19T07:10:52.457Z
75976,3451735,2020-09-18T10:58:33.997Z
3451735,75976,2020-09-18T11:02:07.26Z
75976,656212,2020-09-18T11:50:40.257Z
656212,1440116,2020-09-18T16:31:35.55Z
656212,656212,2020-09-18T17:24:22.69Z
656212,75976,2020-09-18T17:27:37.18Z
656212,2708740,2020-09-19T08:08:21.89Z
75976,5697631,2021-08-22T08:45:32.383Z
75976,2000147,2020-09-25T10:21:33.88Z
75976,1320281,2020-09-20T22:45:22.367Z
75976,2745125,2020-09-19T00:53:22.987Z
2745125,75976,2020-09-19T12:57:32.277Z
75976,3307250,2020-09-18T11:25:08.463Z
3307250,75976,2020-09-18T12:10:32.24Z
3652230,1723677,2020-10-08T07:30:51.947Z
1723677,3652230,2020-10-08T21:06:28.723Z
3652230,5629559,2020-10-09T13:05:18.927Z
3652230,2745910,2020-10-08T14:23:22.507Z
2745910,443651,2020-10-08T15:02:58.393Z
2745910,2745910,2020-10-08T16:30:39.08Z
2745910,3652230,2020-10-08T20:52:14.137Z
3652230,113660,2020-10-08T07:13:24.63Z
113660,3270621,2020-10-08T13:47:50.493Z
3652230,3394758,2020-10-10T09:28:31.27Z
3652230,5801110,2020-10-09T14:42:02.09Z
3652230,1305588,2020-10-09T14:16:07.803Z
3652230,4340172,2020-10-09T14:10:03.013Z
3652230,5898465,2020-10-09T13:58:42.557Z
3652230,3296872,2020-10-09T12:05:06.24Z
3652230,3494023,2020-10-09T11:48:34.56Z
3652230,2012318,2020-10-09T09:40:14.647Z
3652230,1622856,2020-10-09T08:14:59.88Z
3652230,3492308,2020-10-09T05:53:21.423Z
